id,created_at,source,retweets,favorites,text
688743019479171072,2016-01-17T15:21:46Z,Twitter for Android,NA,NA,"Iran is going to buy 114 jetliners with a small part of the $150 billion we are giving them...but they won't buy from U.S., rather Airbus!"
688779451019210752,2016-01-17T17:46:32Z,Twitter for iPhone,NA,NA,"Big announcement in Ames, Iowa on Tuesday! You will not want to miss this rally! #Trump2016 https://t.co/J2wyAfXdlz https://t.co/lErVfowpMX"
688827531143806976,2016-01-17T20:57:35Z,Twitter for Android,NA,NA,"Far more killed than anticipated in radical Islamic terror attack yesterday. Get tough and smart U.S., or we won't have a country anymore!"
688829594472939520,2016-01-17T21:05:47Z,Twitter for Android,NA,NA,"I am self-funding my campaign - putting up my own money, not controlled.  Cruz is spending $millions on ads paid for by his N.Y. bosses."
688927113903247360,2016-01-18T03:33:18Z,Twitter for Android,NA,NA,"""@pbralick: @BenKissel great on @greggutfeld @GregGutfeldShow @JoNosuchinsky too""  Thank you Ben for your nice comments on debate!"
689096917817671680,2016-01-18T14:48:02Z,Twitter for iPhone,NA,NA,Thank you @IvankaTrump for the kind words. I am very proud of the role model you are for so many. NH &amp; IA radio ad: https://t.co/NqJJVdapnG
689097594182725632,2016-01-18T14:50:43Z,Twitter for iPhone,NA,NA,Just a reminder that Ted Cruz supported liberal Justice John Roberts who gave us #Obamacare. https://t.co/gBnsNgomom
689097658976317440,2016-01-18T14:50:59Z,Twitter for iPhone,NA,NA,Leaving for Liberty University. I'll be speaking today in front of a record crowd. #Trump2016
689142431477010432,2016-01-18T17:48:53Z,Twitter for iPhone,NA,NA,"A great morning with everyone @LibertyU! Thank you! Off to New Hampshire now. #Trump2016 
https://t.co/XUWGANbq8k https://t.co/aEMUMqSoWm"
689173145513791488,2016-01-18T19:50:56Z,Twitter for iPhone,NA,NA,We launched a new series of #Trump2016 videos via Facebook. A new topic everyday! Watch: https://t.co/NXWNOcWZgc https://t.co/52E3LU3W77
689232143818579968,2016-01-18T23:45:23Z,Twitter for iPhone,NA,NA,"I loved being at Liberty University today! Record setting crowd, unbelievable people! Thank you Jerry and Becki! https://t.co/YrLGb7wXyh"
689263744443138048,2016-01-19T01:50:57Z,Twitter for Android,NA,NA,Ted Cruz is falling in the polls. He is nervous. People are worried about his place of birth and his failure to report his loans from banks!
689265377872867328,2016-01-19T01:57:26Z,Twitter for Android,NA,NA,I don't think Ted Cruz can even run for President until he can assure Republican voters that being born in Canada is not a problem. Doubt!
689275203151654912,2016-01-19T02:36:29Z,Twitter for iPhone,NA,NA,""".@TheBrodyFile Exclusive: @realDonaldTrump Says He Will Protect Evangelicals Better Than @tedcruz https://t.co/BLdnkYzMBE… #CBNNews #2016"""
689292259276226560,2016-01-19T03:44:15Z,Twitter for iPhone,NA,NA,.@TheBrodyFile great job on @AC360. Thank you for the very smart and kind words!
689429603614502912,2016-01-19T12:50:01Z,Twitter for Android,NA,NA,"Wow, new polls just out have Trump up and Cruz down - he is a nervous wreck!"
689451985557331968,2016-01-19T14:18:57Z,Twitter for iPhone,NA,NA,.@tedcruz Conflicting Stances on Birthright Citizenship [14th Amendment] Gives #TeamTrump credit. https://t.co/0x2qed7174
